Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cr. 92 # 149-30,Campiña,-74.084031789,4.744767632999981,No VIS,Abril,Suba,20275,Colinas de Suba
Cr. 7 # 126-30,Pinar de Santa Bárbara,-74.02802187499998,4.70164592499998,No VIS,Abril,Usaquén,30712,Reserva de la Sierra
Tv. 19A # 96-56,Chicó,-74.05372283700001,4.684059235999996,No VIS,Abril,Chapinero,30959,Oqyana
Av. Suba con 119,Córdoba,-74.06731719300001,4.706891700000028,No VIS,Abril,Suba,31238,Provenza Imperial
Cl. 94 # 21-59,Chicó,-74.05680000000001,4.681600000999992,No VIS,Abril,Chapinero,31422,Art 94
Cl. 140 # 20-35,Nueva Autopista,-74.04842990399999,4.723576288000004,No VIS,Abril,Usaquén,31428,Axxes 140
Cl. 133 # 19-59,Calleja,-74.04785259200003,4.716581559000019,No VIS,Abril,Usaquén,31451,Area 19
Cl. 92 # 14-23,Chicó,-74.05211965799998,4.675262345000022,No VIS,Abril,Chapinero,31486,Massilia
Cl. 88 # 13-25,Cabrera,-74.05249352599998,4.671882692999986,No VIS,Abril,Chapinero,31502,El Palco
Cr. 7 # 93-20,Chicó,-74.04277628300002,4.672594224000022,No VIS,Abril,Chapinero,31567,Vitrum
Cl. 139 # 96A-35,Suba,-74.09149982500003,4.738624416999983,No VIS,Abril,Suba,31588,Altos de San Jorge
Cl. 153 # 109B-18,Las Mercedes,-74.09460000000001,4.757499999999993,No VIS,Abril,Suba,31591,Bosque de Tulipanes
Cl. 121 # 3A-20,Pinar de Santa Bárbara,-74.02656373899998,4.694707497000024,No VIS,Abril,Usaquén,31613,Cerros de los Alpes III
Cr. 8 # 127A-01,Bella Suiza,-74.03230850199998,4.704517490000001,No VIS,Abril,Usaquén,31629,Parque BS
Dg. 72 # 1-52 Este,Rosales,-74.0507,4.653100000999984,No VIS,Abril,Chapinero,31635,Lumini
Tv. 5 # 86-91,Rosales,-74.045077348,4.666379317999997,No VIS,Abril,Chapinero,31651,Cenit de la Cabrera
Cl. 126D # 104-01,Corinto,-74.10236385500002,4.728369578000013,No VIS,Abril,Suba,31669,Mirador Corinto Reservado
Cr. 14A # 109-81,Santa Paula,-74.04329346899999,4.692775099000016,No VIS,Abril,Usaquén,31670,Jade Plus
Cl. 92 # 17-31,Chicó,-74.05432685900001,4.67652770799998,No VIS,Abril,Chapinero,31675,La Toscana
Cl. 85 # 7-16,Chicó,-74.04687568999998,4.665528699999982,No VIS,Abril,Chapinero,31679,Icon Cabrera
Cr. 16 # 93-21,Chicó,-74.05266608800002,4.677706435999994,No VIS,Abril,Chapinero,31680,Balcony 93-16
Cr. 17 # 93A-38,Chicó,-74.05260264600003,4.678591212000015,No VIS,Abril,Chapinero,31690,Orvieto
Cr. 14A # 127A-36,La Carolina,-74.04148676,4.706117703000018,No VIS,Abril,Usaquén,31702,Marankal
Cr. 13 # 119-71,Santa Bárbara,-74.04003187400002,4.699936650999973,No VIS,Abril,Usaquén,31711,Laya 119
Cl. 128B # 19-40,Calleja,-74.048292517,4.713369419000003,No VIS,Abril,Usaquén,31718,Saint Thomas
